gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
RTTN,0.32089242213211633,9.32689619911978e-08,4.1524228398355076e-07,25,1181,0.0016724057574641678,0.007445709394109048,-0.5128301749397755,7.820086565056137
VCF1,0.13018368557729224,1.2928149240141459e-05,7.350126480318561e-06,25,1181,0.04347533791418474,0.026359023583718423,0.007914471161544864,9.742208477949843
CDKN1A,-0.1746765875543648,9.905352459589864e-06,0.0006073084778724418,25,1181,0.04347533791418474,0.15142108037396032,0.2696459512678297,10.38416327314576
DET1,0.1945675611326998,1.2041423583238777e-05,0.00029812691554524206,25,1181,0.04347533791418474,0.12286196777082196,-0.29409520423675284,6.854698381999901
COL5A1,0.1086438850488477,1.5588271768608842e-05,6.50106466896127e-06,25,1181,0.04347533791418474,0.026359023583718423,-0.05584349187358738,12.355293714815453
TCF7L2,0.08725422101611642,1.6972135709067715e-05,0.20669623490165323,25,1181,0.04347533791418474,0.6764501164485388,-0.10354133125785525,9.647661322908919
FUNDC2,0.10726347103395287,1.1415105040357866e-05,4.869523302430461e-06,25,1181,0.04347533791418474,0.026359023583718423,-0.02934840667575746,10.211567848087864
WDR4,0.20725171750716934,2.3407119056877527e-05,0.00012171130457342926,25,1181,0.04663478353431899,0.08917319477215381,-0.4032925967350077,8.108490193748676
CCND3,0.1219112783139416,2.187137622599106e-05,0.23420909566542936,25,1181,0.04663478353431899,0.6994335504920577,-0.34786459083329174,10.511654310994146
OR4K2,-0.08714288940210764,2.929601695643379e-05,1.7103298612780592e-05,24,1065,0.052530688004581425,0.0383349059282211,-0.02891034227151684,0.0
SPICE1,0.16644036215152544,6.845572324778734e-05,2.7794206178486022e-05,25,1181,0.07619149357554636,0.05537532344293698,-0.27866169137051816,8.550842850714629
HNF1B,0.17250758560251367,5.1736618475998416e-05,0.009570398664381117,25,1181,0.07619149357554636,0.29434314846297216,-0.2821291857720326,0.0
CDK1,-0.3264439548042515,8.542935217661846e-05,0.0018180094735271671,25,1181,0.07619149357554636,0.1999921955203413,-2.600306203735604,10.353575084329098
POFUT1,-0.10121672657920237,7.371205028128345e-05,4.7105005900252716e-05,25,1181,0.07619149357554636,0.07038665506645263,-0.052533179294680765,10.882357323759663
POM121L2,0.07427637953263368,8.116229963392822e-05,0.0004148384390979312,25,1181,0.07619149357554636,0.1382421244606178,0.04406939154357209,0.6205552813627646
