gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
BROX,-0.09716102859945024,0.00027206516128998825,1.06946815943644e-05,25,1181,0.12013151335680575,0.02739519080979258,0.12836504696495882,8.685034485352968
GPAT3,-0.07250471666711503,9.773043066407705e-05,3.149325932447215e-05,25,1181,0.07619149357554632,0.056470563294711014,0.05032294326437527,6.589962634862108
TMEM234,-0.09027343201079792,0.0001955134227503911,3.611014077319862e-05,25,1181,0.10233693358401688,0.058862812200384036,0.05470496498517822,7.527184162229448
POFUT1,-0.10121672657920237,7.371205028128337e-05,4.7105005900252716e-05,25,1181,0.07619149357554632,0.07038665506645263,-0.052533179294680765,10.882357323759663
MTFR1L,-0.10838325549585132,0.0004416225839280709,5.241412639882193e-05,25,1181,0.13958647458021323,0.07229520772748277,-0.07594525691594267,9.572791710533409
LIX1L,-0.09742479953268987,0.0002806598805869455,7.108120264706637e-05,25,1181,0.12013151335680575,0.08497046964430315,-0.14626823618414792,9.00433634382663
CCDC82,-0.0793582481551276,0.0001070138309289781,8.69195564674099e-05,25,1181,0.07675460009550025,0.08884235880842112,0.11142310682179747,8.74200646070559
FMC1,-0.07223643829562887,0.0004155094337309767,0.00010404827031268995,25,1181,0.13958647458021323,0.08884235880842112,-0.03804069926724621,7.99815390970889
CLTB,-0.1059013913599644,0.00010427885692564736,0.00011389788280329261,25,1181,0.07675460009550025,0.08917319477215381,-0.1277658529578371,10.177234851721083
LY6E,-0.12306664843711401,0.0007089106449425425,0.00023307548052486194,25,1181,0.16507963764235709,0.11741902550297391,0.03391417480004378,13.025522837493924
H2AC6,-0.10934693213642888,0.0005614198926227993,0.0002694421621385805,25,1181,0.1482833035876405,0.11971237350806783,-0.4587572746196318,10.102398004170581
IFI6,-0.10254509344477301,0.0008388762269492147,0.00030148494684714553,25,1181,0.1728952830508778,0.12286196777082196,0.029700907706753817,11.889637486157255
ZFX,-0.22211317124367536,0.0013862429799078463,0.00035472593261957875,25,1181,0.2020871778270536,0.13251230620420137,-0.29500474941727806,9.30089834032565
FAM221B,-0.0803700661462518,0.0008231217480393002,0.00042403194720506265,25,1181,0.17162088446619408,0.1382421244606178,0.0036951158249812206,1.1191913783445298
APRT,-0.11358637769102478,0.003284412035965102,0.0005202456120816698,25,1181,0.25494715245407035,0.14807181063867333,-0.15436422600689867,10.717639711291142
TRIM35,-0.0760470107080144,0.00239064983624084,0.0004896455838112447,25,1181,0.23154784576771076,0.14807181063867333,0.10821347120529044,8.543227562259611
CREB3L4,-0.06479429187028327,0.0011198064563161959,0.0005091180326991252,25,1181,0.1912309482686258,0.14807181063867333,-0.057194994766020156,9.773861944655131
CDKN1A,-0.1746765875543648,9.905352459589883e-06,0.0006073084778724418,25,1181,0.0434753379141847,0.15142108037396032,0.2696459512678297,10.38416327314576
FBXL22,-0.06737228729210482,0.008533432951092738,0.0006712612636189218,25,1181,0.32695082531205955,0.16265386105339036,-0.02425912600331221,4.686105890655856
NALCN,-0.09014799858950988,0.00032188507859547485,0.0006885646590584273,25,1181,0.1254722031368578,0.16373246683254467,0.09615822689222227,5.647826516229995
TMEM116,-0.059841455266056935,0.0032137453256468776,0.0007122811373885743,25,1181,0.2538575657893135,0.16373246683254467,-0.01210374991132801,7.2595563049686715
