gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor,median_log2_tumor,median_log2_normal_breast,log2fc_tumor_vs_normal,tumor_vs_normal_p,tumor_vs_normal_q,gtex_critical_tissue_max_tpm,safety_flag,Protein class,Subcellular main location,Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation)
KIF2C,-0.1500474637192498,0.0049802664184299,0.001001086591837,25,1181,0.2937538064107504,0.1662081822058303,-0.3432249285730654,10.13725265041818,8.751954047562194,5.404779079694382,3.3471749678678115,1.6658080541600997e-59,3.331616108320199e-58,1.80326,low,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Nucleoplasm, Midbody, Centrosome",unprognostic (7.14e-2),unprognostic (1.64e-2)
IFI6,-0.102545093444773,0.0008388762269492,0.0003014849468471,25,1181,0.1728952830508778,0.1228619677708219,0.0297009077067538,11.889637486157255,11.62336808997323,9.303469668221133,2.3198984217520966,1.5120426906025438e-37,6.720189736011306e-37,71.6586,high,Predicted membrane proteins,Mitochondria,unprognostic (3.82e-1),unprognostic (7.35e-2)
CREB3L4,-0.0647942918702832,0.0011198064563161,0.0005091180326991,25,1181,0.1912309482686258,0.1480718106386733,-0.0571949947660201,9.773861944655131,11.138040143892441,9.668256728500277,1.4697834153921647,5.464348217588784e-34,1.9870357154868305e-33,7.13293,moderate,"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors","Nucleoplasm, Nuclear membrane",unprognostic (9.43e-2),unprognostic (2.11e-2)
H2AC6,-0.1093469321364288,0.0005614198926227,0.0002694421621385,25,1181,0.1482833035876405,0.1197123735080678,-0.4587572746196318,10.10239800417058,10.75356534443095,9.306451285658795,1.4471140587721543,1.1049507137948858e-24,2.7623767844872146e-24,256.121,high,"Cancer-related genes, Essential proteins, Predicted intracellular proteins",Nucleoplasm,unprognostic (1.49e-1),
HPRT1,-0.0943893920954576,0.0075391860870888,0.0013701944428757,25,1181,0.315487698071931,0.1779825658970119,0.0508471582705592,10.018811882209976,9.489806023353625,8.605814676562842,0.8839913467907827,8.097571515816417e-42,4.627183723323667e-41,16.0673,moderate,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol,unprognostic (1.66e-1),unprognostic (6.03e-2)
BIRC7,-0.0654700638359003,0.0008880176225446,0.0010388952429732,25,1181,0.1752292510688812,0.1678236991148924,0.1576268620825419,1.4775720876760183,1.5667664546221802,0.9637213601000562,0.6030450945221241,8.319554343184724e-07,1.2799314374130345e-06,0.109287,low,"Enzymes, Predicted intracellular proteins",Nucleoplasm,,unprognostic (7.51e-2)
SH3BP5L,-0.1159760133323456,0.0026666171508994,0.0009273366078413,25,1181,0.2414904653170567,0.1662081822058303,-0.2138554690579404,10.213129121000138,10.053053893674216,9.472163462142523,0.5808904315316923,3.853630732735472e-34,1.541452293094189e-33,37.5506,high,Predicted intracellular proteins,"Nucleoplasm, Golgi apparatus, Vesicles",unprognostic (1.15e-1),unprognostic (8.13e-2)
LY6E,-0.123066648437114,0.0007089106449425,0.0002330754805248,25,1181,0.165079637642357,0.1174190255029739,0.0339141748000437,13.025522837493924,12.295337008134034,11.761821177641897,0.5335158304921368,3.840809042894882e-08,6.145294468631812e-08,175.538,high,"Predicted intracellular proteins, Predicted membrane proteins",,unprognostic (1.81e-1),unprognostic (5.44e-1)
APRT,-0.1135863776910247,0.0032844120359651,0.0005202456120816,25,1181,0.2549471524540703,0.1480718106386733,-0.1543642260068986,10.717639711291142,10.431797081259992,9.996351721097579,0.4354453601624133,4.155503598224023e-12,7.555461087680041e-12,126.367,high,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Nucleoplasm, Cytosol",unprognostic (3.06e-2),unprognostic (6.73e-2)
SIGLEC8,-0.081399264423457,0.024790874243159,0.0007864097229587,25,1181,0.4133464899823431,0.1653595924212486,-0.0866761507274091,4.521495299563245,5.774908267243446,5.353860039038972,0.42104822820447385,0.000865879730801167,0.0010495511888498994,0.138811,low,"CD markers, Plasma proteins, Predicted membrane proteins",Cytosol,unprognostic (7.62e-2),unprognostic (9.23e-2)
STK11IP,-0.093484914880564,0.0016360793715492,0.0011439355122996,25,1181,0.2057679711330057,0.1723689720255824,0.0938875096565433,8.73940834269526,8.742698144969516,8.324004128344228,0.41869401662528816,3.051532414819743e-19,6.781183144043874e-19,17.357,moderate,Predicted intracellular proteins,Vesicles,unprognostic (8.69e-2),unprognostic (1.05e-2)
CLTB,-0.1059013913599644,0.0001042788569256,0.0001138978828032,25,1181,0.0767546000955002,0.0891731947721538,-0.1277658529578371,10.177234851721083,9.95812172747709,9.679252860443189,0.2788688670339017,2.970404583736706e-05,4.400599383313638e-05,120.638,high,"Plasma proteins, Predicted intracellular proteins, Transporters",Vesicles,unprognostic (1.76e-1),unprognostic (7.25e-2)
PSMD9,-0.0843520046066085,0.0016073557284115,0.0011276926774526,25,1181,0.2057679711330057,0.1713615033847818,-0.2455289017778086,9.641924653297874,9.709892667068596,9.446694488401253,0.2631981786673432,8.580800803845808e-10,1.4301334673076347e-09,21.2564,high,"Plasma proteins, Predicted intracellular proteins",Cytosol,unprognostic (3.32e-3),unprognostic (3.67e-2)
PRRC2A,-0.1582308063212085,0.0017827349923598,0.0014758712061505,25,1181,0.2057679711330057,0.1837767124825394,-0.5172345100133428,13.05339548465995,12.717583702942779,12.462626652979058,0.25495704996372126,2.2961760840076557e-14,4.3736687314431533e-14,79.1545,high,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Cytosol,unprognostic (8.05e-2),
BROX,-0.0971610285994502,0.0002720651612899,1.06946815943644e-05,25,1181,0.1201315133568057,0.0273951908097925,0.1283650469649588,8.685034485352968,8.975443612894859,8.73643183607772,0.23901177681713826,5.5565461735131454e-05,7.93792310501878e-05,12.2924,moderate,Predicted intracellular proteins,Golgi apparatus,unprognostic (4.61e-2),
TMEM234,-0.0902734320107979,0.0001955134227503,3.611014077319862e-05,25,1181,0.1023369335840168,0.058862812200384,0.0547049649851782,7.527184162229448,7.3684069317600835,7.170186600047371,0.19822033171271247,5.769273882164216e-05,7.957619147812712e-05,12.8535,moderate,"Predicted membrane proteins, Transporters",Vesicles,unprognostic (8.71e-2),
POFUT1,-0.1012167265792023,7.371205028128337e-05,4.710500590025272e-05,25,1181,0.0761914935755463,0.0703866550664526,-0.0525331792946807,10.882357323759663,11.020575261041618,10.928607164123246,0.0919680969183716,0.0007641391329154551,0.0009551739161443189,17.1008,moderate,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Centrosome,unprognostic (6.38e-2),unprognostic (1.26e-3)
PCSK7,-0.0964067546657013,0.0018505663649327,0.0010980917737997,25,1181,0.2086950030793073,0.1713615033847818,-0.0360207068687889,9.529216149990075,9.311408430049791,9.243344642715257,0.068063787334534,0.23297996643430519,0.26626281878206304,19.2086,moderate,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",,potential prognostic unfavorable (7.58e-4),unprognostic (3.81e-2)
DNAJB12,-0.1013546057192928,0.0014670136817853,0.0009605733048133,25,1181,0.2028491922334084,0.1662081822058303,-0.2636941515913685,10.152982529170536,10.347741717309564,10.312826573866115,0.034915143443448926,0.6035442752009386,0.6524802975145282,23.5902,high,"Predicted membrane proteins, Transporters","Nuclear membrane, Endoplasmic reticulum",unprognostic (4.06e-2),unprognostic (7.79e-2)
NPHP4,-0.0749884174789717,0.0024679953362682,0.0013896357830339,25,1181,0.2319757539884944,0.1779825658970119,-0.1054737164886919,8.044233692905799,8.012890986876139,8.002086730947195,0.010804255928944073,0.39657936576695596,0.4406437397410622,2.92971,low,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Nucleoplasm,unprognostic (5.67e-2),unprognostic (2.42e-1)
FAM221B,-0.0803700661462518,0.0008231217480393,0.000424031947205,25,1181,0.171620884466194,0.1382421244606178,0.0036951158249812,1.1191913783445298,2.141792438877352,2.1558368258091045,-0.014044386931752584,0.6433018111057602,0.6771598011639581,0.064896,low,Predicted intracellular proteins,,,
TMEM116,-0.0598414552660569,0.0032137453256468,0.0007122811373885,25,1181,0.2538575657893135,0.1637324668325446,-0.012103749911328,7.259556304968672,7.867574044914805,7.901083939404481,-0.03350989448967656,0.891376139087739,0.891376139087739,5.10701,moderate,"Predicted intracellular proteins, Predicted membrane proteins",Microtubules,unprognostic (3.18e-1),unprognostic (4.85e-2)
TEKT4,-0.1292705093329814,0.003282570612431,0.0009725649494323,25,1181,0.2549471524540703,0.1662081822058303,-0.2381437298064445,1.7141052770810834,2.299127408412377,2.336125318715792,-0.036997910303414816,0.758905323340742,0.7783644341956327,0.045846,low,Predicted intracellular proteins,"Perinuclear theca, Connecting piece, Flagellar centriole, Principal piece, End piece, Annulus",,unprognostic (7.95e-2)
FMC1,-0.0722364382956288,0.0004155094337309,0.0001040482703126,25,1181,0.1395864745802132,0.0888423588084211,-0.0380406992672462,7.99815390970889,7.501253621119943,7.677841826869365,-0.1765882057494217,0.0023666978193220565,0.0027843503756730076,25.9678,high,Predicted intracellular proteins,Mitochondria,unprognostic (1.21e-1),
CDKN1A,-0.1746765875543648,9.905352459589884e-06,0.0006073084778724,25,1181,0.0434753379141847,0.1514210803739603,0.2696459512678297,10.38416327314576,10.68608656839689,11.043202659592632,-0.35711609119574206,0.00057830632036445,0.0007462017036960646,80.8589,high,"Cancer-related genes, Human disease related genes, Predicted intracellular proteins","Nucleoplasm, Nuclear bodies",unprognostic (1.16e-2),unprognostic (7.94e-3)
RBM6,-0.109778303369012,0.0023034624149374,0.000891452429607,25,1181,0.22980854016332,0.1662081822058303,-0.1223505555909591,10.081071055617326,10.182554381870215,10.580929558433834,-0.39837517656361854,9.309659110706063e-19,1.9599282338328554e-18,41.9825,high,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Nuclear speckles,unprognostic (5.30e-2),unprognostic (4.03e-2)
ZFX,-0.2221131712436753,0.0013862429799078,0.0003547259326195,25,1181,0.2020871778270536,0.1325123062042013,-0.295004749417278,9.30089834032565,9.775190002727554,10.173595580092318,-0.39840557736476434,4.493050077355447e-10,7.814000134531213e-10,4.47314,low,"Predicted intracellular proteins, Transcription factors",Nucleoplasm,unprognostic (8.75e-2),unprognostic (2.21e-1)
TRIM35,-0.0760470107080144,0.0023906498362408,0.0004896455838112,25,1181,0.2315478457677107,0.1480718106386733,0.1082134712052904,8.543227562259611,8.432956485147775,8.930753553663983,-0.4977970685162081,4.708767458665522e-32,1.5695891528885075e-31,8.05077,moderate,"Enzymes, Predicted intracellular proteins",Nucleoplasm,unprognostic (2.97e-2),potential prognostic favorable (1.27e-5)
MTFR1L,-0.1083832554958513,0.000441622583928,5.241412639882193e-05,25,1181,0.1395864745802132,0.0722952077274827,-0.0759452569159426,9.572791710533409,9.678494859891,10.205926183816914,-0.5274313239259136,2.2809693825501956e-44,1.5206462550334638e-43,58.368,high,Predicted intracellular proteins,Mitochondria,unprognostic (1.83e-1),
